,nivel_experiencia,tipo_emprego,titulo_trabalho,salario_em_dolar,residencia_empregado,percentual_remoto,local_empresa,tamanho_empresa
0,SE,FT,Principal Data Scientist,85847,ES,100,ES,L
3,SE,FT,Data Scientist,175000,CA,100,CA,M
4,SE,FT,Data Scientist,120000,CA,100,CA,M
5,SE,FT,Applied Scientist,222200,US,0,US,L
6,SE,FT,Applied Scientist,136000,US,0,US,L
7,SE,FT,Data Scientist,219000,CA,0,CA,M
8,SE,FT,Data Scientist,141000,CA,0,CA,M
9,SE,FT,Data Scientist,147100,US,0,US,M
10,SE,FT,Data Scientist,90700,US,0,US,M
11,SE,FT,Data Analyst,130000,US,100,US,M
12,SE,FT,Data Analyst,100000,US,100,US,M
13,EN,FT,Applied Scientist,213660,US,0,US,L
14,EN,FT,Applied Scientist,130760,US,0,US,L
15,SE,FT,Data Modeler,147100,US,0,US,M
16,SE,FT,Data Modeler,90700,US,0,US,M
17,SE,FT,Data Scientist,170000,US,0,US,M
18,SE,FT,Data Scientist,150000,US,0,US,M
19,MI,FT,Data Analyst,150000,US,100,US,M
20,MI,FT,Data Analyst,110000,US,100,US,M
21,SE,FT,Research Engineer,275000,DE,0,DE,M
22,SE,FT,Research Engineer,174000,DE,0,DE,M
23,SE,FT,Analytics Engineer,230000,GB,100,GB,M
24,SE,FT,Analytics Engineer,143200,GB,100,GB,M
25,SE,FT,Business Intelligence Engineer,225000,US,0,US,M
26,SE,FT,Business Intelligence Engineer,156400,US,0,US,M
27,SE,FT,Machine Learning Engineer,200000,US,0,US,M
28,SE,FT,Machine Learning Engineer,130000,US,0,US,M
29,SE,FT,Data Strategist,90000,CA,0,CA,M
30,SE,FT,Data Strategist,72000,CA,0,CA,M
31,SE,FT,Data Engineer,253200,US,0,US,M
32,SE,FT,Data Engineer,90700,US,0,US,M
33,SE,FT,Computer Vision Engineer,342810,US,0,US,M
34,SE,FT,Computer Vision Engineer,184590,US,0,US,M
35,MI,FT,Data Engineer,162500,US,0,US,M
36,MI,FT,Data Engineer,130000,US,0,US,M
37,MI,FT,Data Analyst,105380,US,0,US,M
38,MI,FT,Data Analyst,64500,US,0,US,M
39,EN,FT,Data Quality Analyst,100000,NG,100,NG,L
40,EN,FT,Compliance Data Analyst,30000,NG,100,NG,L
41,MI,FT,Machine Learning Engineer,20984,IN,50,IN,L
42,EN,FT,Applied Scientist,204620,US,0,US,L
43,EN,FT,Applied Scientist,110680,US,0,US,L
